,label,text,final_label,init_label,weak_label,m_init_label,explanation
0,1,"23 Of The Funniest ""Nancy Drew"" Game Memes",Clickbait,Clickbait,1.0,1.0,"The headline uses a list format ('23 Of The Funniest') which is a common clickbait technique to attract attention. It also uses superlatives ('Funniest') to provoke curiosity and entice users to click to see the content. The focus is on entertainment and humor, which aligns with clickbait characteristics of being attention-grabbing and curiosity-driven."
1,0,Two Chicago schools evacuated as suspicious package found,Non-clickbait,Non-clickbait,0.0,0.0,"The headline is straightforward and factual, providing clear information about an event without using sensational or exaggerated language. It directly states what happened without attempting to provoke curiosity or use misleading elements."
2,0,"Interview: PRS, the UK's music royalty collection society",Non-clickbait,Non-clickbait,0.0,0.0,"The headline is straightforward and factual, indicating an interview with PRS, the UK's music royalty collection society. It is clear and concise, providing specific information about the content without using sensational or exaggerated language. The focus is on delivering factual information about the interview subject."
3,1,Can You Name These Christmas Movies From Their Posters,Clickbait,Clickbait,1.0,1.0,"The headline is designed to provoke curiosity and entice the reader to engage with the content by posing a challenge or question. It uses an attention-grabbing format typical of clickbait, aiming to draw the reader in by appealing to their interest in Christmas movies and their ability to recognize them from posters."
4,1,15 Perfectly Reasonable Ways To Deal With Stress,Clickbait,Clickbait,1.0,1.0,"The headline uses a list format with a specific number, which is a common tactic in clickbait to attract attention. The phrase 'Perfectly Reasonable' is somewhat subjective and could be seen as an attempt to provoke curiosity about what these ways might be. This aligns with the properties of clickbait, which often include provocative headlines and elements designed to draw attention."
5,1,"Which ""Pretty Little Liars"" Hunk Should Be Your Valentine Based On Your Zodiac",Clickbait,Clickbait,1.0,1.0,"The headline uses sensational and curiosity-driven language by combining popular culture ('Pretty Little Liars') with personal interest ('Your Valentine') and astrology ('Your Zodiac'). It aims to attract attention and entice clicks by suggesting a personalized and intriguing outcome, which is characteristic of clickbait."
6,1,Kim Kardashian Accidentally Shared A Retouched Selfie And The Original,Clickbait,Clickbait,1.0,1.0,"The headline is designed to grab attention by mentioning a celebrity, Kim Kardashian, and the word 'accidentally' which suggests an unexpected or unintended action. The use of 'retouched selfie' and 'the original' creates curiosity about the differences between the images. This sensational and curiosity-driven language is characteristic of clickbait."
7,1,What's The Weirdest Sexual Question Your Parents Have Ever Asked You,Clickbait,Clickbait,1.0,1.0,"The headline uses sensational and curiosity-driven language by asking about 'the weirdest sexual question,' which is designed to provoke curiosity and entice readers to click to find out more. It lacks straightforward or factual information and instead focuses on grabbing attention with a provocative question."
8,0,Shuttle Landing Delayed,Non-clickbait,Non-clickbait,0.0,0.0,"The headline 'Shuttle Landing Delayed' is straightforward and factual. It provides clear information about the delay of a shuttle landing without using sensational or exaggerated language. The headline is concise and does not attempt to provoke curiosity or mislead the reader, which aligns with the characteristics of non-clickbait content."
9,1,25 Of The Best Tumblr Memes Of 2015,Clickbait,Clickbait,1.0,1.0,"The headline '25 Of The Best Tumblr Memes Of 2015' is designed to attract attention and entice users to click on the link. It uses superlatives like 'best' to create curiosity and suggests a list format, which is a common clickbait strategy. The headline aims to provoke curiosity about what the 'best' memes are, which is characteristic of clickbait content."
10,0,Terror suspects arrested in connection with bombing public bus in Israel,Non-clickbait,Non-clickbait,0.0,0.0,"The headline is straightforward and factual, providing clear information about the arrest of terror suspects in connection with a bombing incident. It does not use sensational or exaggerated language and focuses on delivering factual information, which aligns with the characteristics of non-clickbait content."
11,0,Papua New Guinea Culture and Tourism minister charged with attempted murder,Non-clickbait,Non-clickbait,0.0,0.0,"The headline is straightforward and factual, providing clear information about a specific event without using sensational or exaggerated language. It directly states the charge against the minister without attempting to provoke curiosity or use attention-grabbing tactics."
12,1,Which Cupcake Are You Based On Your Zodiac Sign,Clickbait,Clickbait,1.0,1.0,"The headline 'Which Cupcake Are You Based On Your Zodiac Sign' is designed to provoke curiosity and entice readers to click on the link. It uses a sensational and attention-grabbing approach by combining the unexpected elements of cupcakes and zodiac signs, which is not straightforward or factual. This aligns with the characteristics of clickbait content."
13,1,The 26 Biggest Rebels On The Entire Fucking Planet,Clickbait,Clickbait,1.0,1.0,"The headline uses sensational and exaggerated language, such as 'Biggest Rebels' and 'Entire Fucking Planet,' to grab attention and provoke curiosity. The use of profanity further adds to the sensational nature, making it likely to entice users to click on the link. This aligns with the characteristics of clickbait content."
14,1,24 Of The World's Most Insane Record Attempts,Clickbait,Clickbait,1.0,1.0,"The headline uses sensational language with the word 'Insane' to grab attention and provoke curiosity. It suggests exaggerated or extreme content, which is characteristic of clickbait. The phrase 'World's Most' implies superlatives, further indicating an attempt to entice readers to click on the link."
15,1,These Nurses Reviewed Nurse Halloween Costumes And They Hated Them,Clickbait,Clickbait,1.0,1.0,"The headline uses sensational language by highlighting the strong negative reaction ('They Hated Them') to attract attention. It provokes curiosity by suggesting a controversial or surprising opinion from nurses about Halloween costumes, which is a common tactic in clickbait to entice readers to click and read more."
16,0,Troubled Bank Loans Hit a Record High,Non-clickbait,Non-clickbait,0.0,0.0,"The headline 'Troubled Bank Loans Hit a Record High' is straightforward and factual. It provides clear information about the status of bank loans without using sensational or exaggerated language. The headline is concise and focuses on delivering factual information, which aligns with the characteristics of non-clickbait content."
17,1,The Diverse World Of London As Seen Through Bus Windows,Non-clickbait,Non-clickbait,0.0,0.0,"The headline 'The Diverse World Of London As Seen Through Bus Windows' is straightforward and descriptive. It suggests an informative piece about observing the diversity of London from a specific perspective, without using sensational or exaggerated language. The title is clear and concise, aiming to provide a factual account rather than provoke curiosity or mislead the reader."
18,1,What YA Heroine Quote Inspires You,Clickbait,Clickbait,1.0,1.0,"The headline 'What YA Heroine Quote Inspires You' is designed to provoke curiosity and entice readers to engage with the content. It uses a question format to draw attention and encourage clicks, which is characteristic of clickbait. The headline does not provide clear or factual information but instead aims to engage the reader's interest by prompting them to think about their personal connection to YA heroines."
